Merk,Soort,Percentage alcohol,Brouwerij
Bruynen Moriaen,donker,9%,Brouwerij Van Eecke,?-heden
BRWN,"hoge gisting, biologisch",7%,Brouwerij Jessenhofke,2009-heden
Bryggja,tripel,"8,5%",Bryggja,
Bueckenholt Belge,"Spéciale Belge, amber","6,5%",Brouwerij Bueckenholt,
Bueckenholt SaisoN548,"Saison, blond","6,1%",Brouwerij Bueckenholt,
Buffalo,"hoge gisting, donker","6,5%",Brouwerij Van Den Bossche,1907-heden
Buffalo Belgian Stout,stout,9%,Brouwerij Van Den Bossche,2006-heden
Buffalo Bitter,blond,8%,Brouwerij Van Den Bossche,?-heden
Bufo,blond,"4,8%",Gageleer cbva-so,2013-heden
Bush 7,amber,7.5%,Brouwerij Dubuisson,1994-2010
Bush Amber,"hoge gisting, amber",12%,Brouwerij Dubuisson,1933-heden
Bush Amber Tripel,"tripel, amber",12%,Brouwerij Dubuisson,2008-heden
Bush Blond,"hoge gisting, blond","10,5%",Brouwerij Dubuisson,1998-heden
Bush Blond Triple,"tripel, blond","10,5%",Brouwerij Dubuisson,2008-heden
Bush de Noël,kerstbier,12%,Brouwerij Dubuisson,1991-heden
Bush de Noël Premium,"kerstbier, tripel",13%,Brouwerij Dubuisson,1991-heden
Bush Millenium,"amber, tripel",13%,Brouwerij Dubuisson,2000-2003
Bush de Nuits,"amber, tripel",13%,Brouwerij Dubuisson,2008-heden
Bush Prestige,"amber, tripel",13%,Brouwerij Dubuisson,2000-heden
Camaraderie,blond,8%,Brouwerij Bavik,?-?
Cambrinus,Belgische ale,"5,1%",Brouwerij Verhaeghe,?-heden
Campus Premium,pils,5%,Brouwerij Huyghe,1993-heden
Campus,sterk donker,7%,Brouwerij Huyghe,1993-heden
Campus Gold,blond,"6,2%",Brouwerij Huyghe,?-?
Canaille,witbier,"5,2%",Brasserie Grain d'Orge,?-?
Canaster,Scotch,"8,7%",Brouwerij De Glazen Toren,2004-heden
Cantillon Geuze,spontane gisting,5%,Brouwerij Cantillon,?-?
Caper Fumatis,donkerbruin,"6,3%",Brouwerij Alvinne,?-?
Capoen,amber,"6,5%",De Proefbrouwerij,?-?
Captain Cooker Manuka Beer,amber,"5,7%",Captain Cooker,2012-heden
Captain Cooker White Manuka Beer,witbier,"4,5%",Captain Cooker,?-?
Cara Pils,pils,"4,4% - 5,2%",Brouwerij Haacht,?-heden
Caracole,"hoge gisting, amber",8%,Brasserie Caracole,1990-heden
Carioca,witbier,"4,8%",De Lion à Plume,?-?
Carlos,"donker, hoge gisting","6,5%",Brouwerij Contreras,2005-heden
Carnavalsbier,blond,"6,1%",bierfirma Vacas,?-?
Carrousel,"hoge gisting, blond",6%,Brouwerij De Vlier,2011-heden
Caulier Blonde,"hoge gisting, blond","6,8%",Caulier Developpement,2009?-heden
Caulier Brune,"hoge gisting, amberbruin","6,8%",Caulier Developpement,?-heden
Caulier Gluten free Blonde,"hoge gisting, blond","6,8%",Caulier Developpement,?-heden
Caulier Special Extra,"hoge gisting, blond","4,3%",Caulier Developpement,?-heden
Caves,"hoge gisting, amberkleurig","5,8%",Brouwerij Verhaeghe Vichte,1976-heden
Ceci n'est pas un Barley Wine,gerstewijn,10%,Brasserie Sainte-Hélène,?-heden
Ceci n'est pas une saison,saison,"6,5%",'t Hofbrouwerijke,2011-heden
Ceci n'est pas une stout,stout,"6,5%",'t Hofbrouwerijke,2012-heden
Ceci n'est pas une triple,tripel,8%,'t Hofbrouwerijke,2012-heden
Celestus,lager,5%,Brouwerij Haacht,
Celis White,witbier,5%,Brouwerij Van Steenberge,1992-heden
Celtic Angel,"hoge gisting, amber","6,2%",Microbrouwerij Achilles,?-?
Cervesia,"hoge gisting, blond",8%,Brouwerij Dupont,1983-heden
Cervoise de l'Avouerie d'Anthisnes,,5%,Brasserie de Silly,?-?
Cesar,tripel,"8,5%",Brouwerij Van Steenberge,2011-heden
Cezarken,lager,"5,5%",Brouwerij Crombé,1989 - heden
Chapeau Gueuze,geuze,"5,5%",Brouwerij De Troch,?-heden
Chapeau Abricot,fruitbier op basis van lambiek,"3,5%",Brouwerij De Troch,1991? - heden
Chapeau Banana,fruitbier op basis van lambiek,"3,5%",Brouwerij De Troch,1980-heden
Chapeau Cuvée Oude Gueuze,oude geuze,"5,5%",Brouwerij De Troch,?-heden
Chapeau Exotic,fruitbier op basis van lambiek,"3,5%",Brouwerij De Troch,1994-heden
Chapeau Faro,aangezoete geuze,"4,75%",Brouwerij De Troch,1991-heden
Chapeau Fraises,fruitbier op basis van lambiek,"3,5%",Brouwerij De Troch,1991? - heden
Chapeau Framboise,fruitbier op basis van lambiek,"3,5%",Brouwerij De Troch,1991? - heden
Chapeau Kriek,fruitbier op basis van lambiek,"3,5%",Brouwerij De Troch,? - heden
Chapeau Lemon,fruitbier op basis van lambiek,"3,5%",Brouwerij De Troch,1991? - heden
Chapeau Mirabelle,fruitbier op basis van lambiek,"3,5%",Brouwerij De Troch,1991? - heden
Chapeau Pêche,fruitbier op basis van lambiek,"3,5%",Brouwerij De Troch,1991? - heden
Chapeau Winter Gueuze,"geuze, kerstbier","5,6%",Brouwerij De Troch,?-heden
Charles Quint,lager,"6,3%",Haacht,1999-heden
Chimay Blauw,trappist,9%,Abdij Notre-Dame de Scourmont,1948-heden
Chimay Dobbelbock,lage gisting,9%,Abdij Notre-Dame de Scourmont,1862-?
Chimay dorée,blond tafelbier,"4,8%",Abdij Notre-Dame de Scourmont,2006-heden
Chimay Rood,trappist,7%,Abdij Notre-Dame de Scourmont,1948-heden
Chimay Wit,tripel,8%,Abdij Notre-Dame de Scourmont,1966-heden
Chimay Spéciale Cent Cinquante,trappist,10%,Abdij Notre-Dame de Scourmont,2012-2012
Chouffe Bok 6666,donker amber,"6,66%",Brouwerij d'Achouffe,?-heden
Christmas Leroy,"hoge gisting, kerstbier","7,5%",Brouwerij Van Eecke,?-?
Christmas Verhaeghe,"hoge gisting, kerstbier","7,2%",Brouwerij Verhaeghe,?-?
Christmas Pale Ale,"hoge gisting, kerstbier","6,3%",Brouwerij De Ryck,1986 - heden
Ciney Blond,"hoge gisting, blond",7%,Alken-Maes,1980-heden
Ciney Bruin,"hoge gisting, bruin",7%,Alken-Maes,1978-heden
Ciney Speciale 10,"hoge gisting, bruin",9%,Alken-Maes,1986-2007
"Clio ""Sister of Apollo""",golden ale,"7,3%",Brouwerij Eutropius in opdracht van Castalia Craft Beers,2018-heden
Cluysenaer Amber,hoge gisting,7%,Brouwerij Cluysenaer,2002-heden
Cluysenaer Cuvée Noir,hoge gisting,8%,Brouwerij Cluysenaer,2011-heden
Cnudde Bizon,fruitbier,"5,5%",Brouwerij Cnudde,2000-heden
Cnudde Oudenaards bruin,Vlaams oud bruin,5%,Brouwerij Cnudde,1933-heden
Colère Rouge,Belgian dark ale,5%,Brasserie Millevertus,2008-heden
Content,tripel,"7,5%",De Verhuisbrouwerij,2004-heden
Contrapils,pils,5%,Brouwerij Contreras,1954-heden
Contreras' Especial Mars,"hoge gisting, lentebier","6,5%",Brouwerij Contreras,1898-heden
Cookie Beer,speciaalbier,8%,Brasserie d'Ecaussinnes,?-?
Coq Hardi,"lage gisting, blond","5,5%",Brouwerij Haacht,1972-heden
Cornet,"hoge gisting, blond","8,5%",Brouwerij Palm,?-?
Corsendonk Agnus,blonde tripel,"7,5%",Corsendonk nv,1982?-heden
Corsendonk Blond,hoge gisting,"6,5%",Corsendonk nv,1982?-heden
Corsendonk Bruin,hoge gisting,"6,5%",Corsendonk nv,1982?-heden
Corsendonk Christmas Ale,kerstbier,"8,5%",Corsendonk nv,?-heden
Corsendonk Pater,"roodbruin, dubbel","7,5%",Corsendonk nv,?-heden
Corsendonk Rousse,"amber, hoge gisting",8%,Corsendonk nv,?-heden
Corsendonk Triple 11.11.11,tripel,"7,5%",Corsendonk nv,1982?-heden
Couckelaerschen Doedel,hoge gisting,"6,5%",Brouwerij Strubbe,1970-heden
Courage,"hoge gisting, winterbier",8%,Brouwerij De Dochter van de Korenaar,2009-heden
Coy'Heimsen,"roodbruin, etiketbier",6%,Brouwerij Van Eecke,1955-heden
Crabbelaer,dubbel,?,?,16e en 17e eeuw
Crabbelaer,saison,"6,5%",Brouwerij De 6 Helmen,2014-heden
Crack Pils,"lage gisting, pils",5%,Brouwerij Het Sas,1986-heden
Crianza,mengbier met lambiek,7%,Brasserie de la Senne,?-?
Cristal Alken,"lage gisting, pils","4,8%",Alken-Maes,1928-heden
Cristal 1928,"lage gisting, pils","5,8%",Alken-Maes,2008-heden
Curtius,"hoge gisting, blond",7%,Microbrasserie de la Principauté,?-?
Cuvée Angélique,"dubbel, Special Belge","8,3%",Brouwerij De Glazen Toren,2006-heden
Cuvée de Bouillon,"blond, hoge gisting","6,5%",Brasserie de Bouillon,1996-heden
Cuvée de Briqville,streekbier,7%,Brouwerij Van Steenberge in opdracht van Brouwerij Van Goethem,?-heden)
Cuvée de Briqville,streekbier,?%,Brouwerij Van Goethem,1950-?
Cuvée de ciney,"hoge gisting, bruin",7%,Alken-Maes,1978-heden
Cuvée de Francorchamps,,8%,Brouwerij Lefebvre,1991-?
Cuvée De l'Ermitage,abdijbier,8%,Brouwerij Union?-?
Cuvée De Ranke,gemengde gisting,7%,Brouwerij De Ranke,?-heden
Cuvée des Jacobins,lambiek,"5,5%",Brouwerij Bockor,?-?
Cuvée des Trolls,"hoge gisting, blond",7%,Brouwerij Dubuisson,2000-heden
Cuvée des Trolls Triple,blonde tripel,7%,Brouwerij Dubuisson,2010-heden
Cuvée Delphine,Belgian Royal Stout,13%,De Struise Brouwers,?-?
Cuvée d'Erpigny,"quadrupel, oak aged",15%,Brouwerij Alvinne,?-?
Cuvée du Château,sterk donker,11%,Brouwerij Van Honsebrouck,2010-heden
Cuvée du Flo Ambrée,"hoge gisting, amber","8,5%",Brasserie du Flo,?-?
Cuvée du Flo Blonde,"hoge gisting, blond",8%,Brasserie du Flo,?-?
Cuvée du Flo Brune,"hoge gisting, bruin",9%,Brasserie du Flo,?-?
Cuvée du Flo Fruit,"hoge gisting, fruitbier","6,5%",Brasserie du Flo,?-?
Cuvée du Flo Miel,"hoge gisting, honingbier","8,5%",Brasserie du Flo,?-?
Cuvée du Tchesté,hoge gisting,"7,5%",Brasserie Les 3 Fourquets in opdracht van de Confrérie du Tchesté de Neufchâteau,?-heden
Cuvée du Tchesté,hoge gisting,"8,5%",Brasserie d'Achouffe in opdracht van de Confrérie du Tchesté de Neufchâteau,1994-?
Cuvée Ermesinde,"hoge gisting, amber","7,8%",Brasserie Saint-Monon,?-?
Cuvée Freddy,stout,10%,Brouwerij Alvinne,?-?
Cuvée Jeun'homme,blond,"6,5%",Brouwerij De Leite,?-?
Cuvée Jolie Môme,"hoge gisting, witbier","4,5%",Brasserie du Flo,?-?
Cuvée Lambikstoemper,oude geuze,7%,Brouwerij Boon & De Lambikstoempers,?-?
Cuvée Li Crochon,"hoge gisting, bruin","8,7%",Brasserie Du Bocq,?-?
Cuvée Mam'zelle,hoogblond,"8,5%",Brouwerij De Leite,?-?
Cuvée René Oude Geuze,oude geuze,"5,5%",Brouwerij Lindemans,1995-heden
Cuvée René Oude Kriek,fruitbier op basis van lambiek,6%,Brouwerij Lindemans,1995-heden
Cuvée Saint-Antoine Blonde,abdijbier,"7,5%",Brasserie du Flo,2005-heden
Cuvée Saint-Antoine Brune,"abdijbier, scotch",9%,Brasserie du Flo,2005-heden
Cuvée Saint Gilloise,"spontane gisting, 100% lambiek",5%,Brouwerij Cantillon,?-?
Cuvée Soeur'Ise,kriekenbier,"8,5%",Brouwerij De Leite,?-?
Dagelyckx bier,etiketbier,8%,Brouwerij Jessenhofke,2002-heden
Darinckdelver,stout,"10,5%",Brouwerij Alvinne,?-?
Dark White BBB,hoge gisting,"4,5%",Brasserie Fantôme,
De Boomgaard Framboise,fruitbier,"4,9%",Brasserie d'Ecaussinnes,2008-heden
de Chokier,"hoge gisting, amber",7%,De Proefbrouwerij,2000-heden
De Eycken Balthazar,donkerbruin,9%,Brouwerij Alvinne,?-?
De Garre Tripel,tripel,"11,5%",Staminee De Garre,?-?
De Graal Blond,blond,"6,5%",Brouwerij De Graal,?-heden
De Graal Dubbel,donker,"6,5%",Brouwerij De Graal,?-heden
De Graal Gember,blond,8%,Brouwerij De Graal,?-heden
De Graal SloCK,koperkleurig,"6,5%",Brouwerij De Graal,2008-heden
De Graal Tripel,tripel,9%,Brouwerij De Graal,?-heden
De Graal Quest,suikervrij,9%,Brouwerij De Graal,?-heden
De Graal Triverius,witbier,"6,8%",Brouwerij De Graal,?-heden
De Hoop,blond,9%,De Dolle Brouwers,?-?
De Kavijaks,India pale ale,7%,Kaffee Kavijaks,?-?
De Koninck Blond,blond,?%,Brouwerij De Koninck,1999-2010
De Koninck,amber,"5,2%",Brouwerij De Koninck,1913-heden
De Koninck Triple d'Anvers,blond,8%,Brouwerij De Koninck,2010-heden
De Koninck Tripel,tripel,8?%,Brouwerij De Koninck,?-2010
De Koninck Winter,robijnrood,"6,5%",Brouwerij De Koninck,2011-heden
De Maeght van Gottem,donkerblond,"6,5%",Huisbrouwerij Sint-Canarus,?-heden
De Nacht,winterbier,"5,2%",Brouwerij Vissenaken,2010-heden
De Poes,"blond, ongefilterd, hoge gisting",8%,Brouwerij De Poes,?-?
De Regenboog IJzer,,6%,Brouwerij De Regenboog,?-?
De Skieven Architek,hoge gisting,"10,5%",Brouwerij Van Steenberge,?-?
De Verboden Vrucht,hoge gisting,"8,5%",Brouwerij De Kluis,?-heden
De Vlier X-Mas,kerstbier,"8,5%",Brouwerij De Vlier,?-heden
Deinze Export,export,"4,6%",JCI Deinze en Leiestreek,2007-?
Delhaize Christmas,etiketbier,9%,Affligem Brouwerij,?-?
Delhaize Tafelbier Blond,tafelbier,"1,5%",Brouwerij Piedbœuf,?-heden
Delhaize Tafelbier Bruin,tafelbier,"1,5%",Brouwerij Piedbœuf,?-heden
Deliria,"donker, hoge gisting",8.5%,Brouwerij Huyghe,2013-heden
Delirium Nocturnum,"blond, hoge gisting",9%,Brouwerij Huyghe,
Delirium Tremens,tripel,9%,Brouwerij Huyghe,1989-heden
Delirium Christmas,kerstbier,10%,Brouwerij Huyghe,?-heden
Delirium Red,fruitbier,"8,5%",Brouwerij Huyghe,?-heden
Delta,blond,6%,Brussels Beer Project,?-?
Den Alternatief,lager,5%,Brouwerij Het Alternatief,?-?
Den Bi3r,tripel,9%,Brouwerij Den Tseut,2009-heden
Den Bras,bruin,"7,5%",Brouwerij Den Tseut,2008-2012
Den Drupneuze,winterbier,"8,5%",Brouwerij Den Tseut,2008-heden
Den Herberg Amber,amber,5%,Brouwerij Den Herberg,2008?-heden
Den Herberg Blond,blond,"5,5%",Brouwerij Den Herberg,2008?-heden
Den Herberg Bruin,bruin,"5,5%",Brouwerij Den Herberg,2008?-heden
Den Herberg Tarwe,witbier,5%,Brouwerij Den Herberg,2008?-heden
Den Mulder,blond,8%,Brouwerij Den Tseut,?-?
Den Tseut,"blond, speciaalbier","6,5%",Brouwerij Den Tseut,2008-heden
Den Twaalf,hoge gisting,12%,Brouwerij 't Gaverhopke,?-?
Den Zytholoog,blond,"6,6%",bierfirma Vacas,?-?
Dendermonde Tripel,"abdijbier, tripel",8%,Brouwerij De Block,1997-heden
Dentergems Wit,witbier,5%,Brouwerij Het Anker,1985-heden
Deugniet,tripel,"7,3%",Brasserie Du Bocq,1987-heden (e ?-heden
DeuS,"speciaalbier, blond","11,5%",Brouwerij Bosteels,2002-heden
Diabolici,tripel,8%,Groep John Martin,2011-heden
Dief Gold,"blond, hoge gisting",8%,Brouwerij Engilsen,?-?
Dief Silver,"blond, hoge gisting","6,5%",Brouwerij Engilsen,?-?
Dikke Mathile,hoge gisting,6%,Brouwerij Strubbe,1986-heden
Diôle,Belgian ale,"6,5%",Brasserie des Carrières,?-?
Dobbel Palm,hoge gisting,6%,Brouwerij Palm,1947-heden
Dobbelen,hoge gisting,8%,Brouwerij Roman,?-?
Dobbelken Amber,"streekbier, amber","6,5%",Brouwerij Strubbe,2010-heden
Dobbelken Bruin,"streekbier, bruin",5%,Brouwerij Strubbe,1985-heden
Dogabier,etiketbier,"6,5%",Huisbrouwerij Sint-Canarus,?-?
Domesticus Tripel,"streekbier, tripel",8%,Brouwerij De Leite door Domesticus,2016-heden
Dominus Dubbel,abdijbier,"6,5%",Group John Martin,?-?
Dominus Tripel,"abdijbier, tripel",8%,Group John Martin,?-?
Donkere Stoere,sterk donker,"8,2%",Brouwerij DijkWaert,2010-heden
Double Bie,bruin,"6,5%",Brouwerij De Bie,?-?
Double de Brabant,"dubbel, donker","6,5%",Groep John Martin,?-?
Double Enghien Blonde,"hoge gisting, blond","7,5%",Brasserie de Silly,?-?
Double Enghien Brune,"hoge gisting, amber",8%,Brasserie de Silly,?-?
Douglas Celtic Brown,donkere scotch,"7,9%",Groep John Martin,?-?
Douglas Celtic Lager,blonde lager,5%,Groep John Martin,?-?
Douglas Celtic Red,"amberrood, hoge gisting","7,9%",Groep John Martin,?-?
Douglas Celtic Super,"blond, hoge gisting","7,9%",Groep John Martin,?-?
Douglas Celtic XXX Strong,"blond, hoge gisting",12%,Groep John Martin,?-?
Drongens Plezierke,"hoge gisting, donker","7,5%",Brouwerij Slaghmuylder,1985-heden
Draeckenier,goudblond,"7,5%",Brouwerij Troch,?-?
Druïde Blond,lichtblond,"6,5%",Brouwerij Druïde,2005-heden
Druïde Bruin,robijnrood,"6,5%",Brouwerij Druïde,2006-heden
Druïde Grand Q,"tripel, blond","8,5%",Brouwerij Druïde,?-heden
Druivenbier,fruitbier,6%,Brouwerij Paeleman,?-?
Dubbel Buitenlust,blond,"8,5%",De Proefbrouwerij,1997-heden
Dubbel Klok,donker,"8,5%",Brouwerij Boelens,1995-heden
Ducassis,fruitbier,3%,Brasserie des Légendes,2003-heden
Duchesse de Bourgogne,oud bruin,"6,2%",Brouwerij Verhaeghe Vichte,?-heden
Duivels Bier,donker,8%,Brouwerij Boon,1883-heden
Dulle Griet,dubbel,"6,5%",De Scheldebrouwerij,?-heden
Dulle Teve,tripel,10%,De Dolle Brouwers,?-heden
Duvel,hoge gisting,"8,5%",Brouwerij Duvel Moortgat,1970-heden
Duvel Tripel Hop,hoge gisting,"9,5%",Brouwerij Duvel Moortgat,"2007, 2010, 2012-heden"
Echt Kriekenbier,fruitbier,"6,8%",Brouwerij Verhaeghe,?-heden
Echte Kriek,fruitbier,"6,8%",Brouwerij Verhaeghe,?-heden
Edel-Brau,alcoholarm,"0,3%",Brouwerij Strubbe,1988-heden
Eerwaarde Pater,Waestvlaams roodbruin,9%,Brouwerij Het Alternatief,
Egotripel,Tripel blond,"6,5%",Brouwerij Opus Magnum,
Eeuwige Liefde,sterk donker,"8,2%",Brouwerij DijkWaert,2010-heden
Elfique Ambree,Amber licht bitter,7%,André & Valérie Grolet,
Elfique Rose,Fris kruidig,"6,5%",André & Valérie Grolet,
Elfique Blonde,Blond bitter,6%,André & Valérie Grolet,
Elfique Brun,"Bruin, diverse moutsoorten",8%,André & Valérie Grolet,
Egmont,blond,"6,5%",Brouwerij Crombé,1987-heden
Elliot Brew,Imperial IPA,9%,De Struise Brouwers,
El Toro,"hoge gisting, IPA","6,5%",Brouwerij Contreras,2008-?
Embrasse,"hoge gisting, sterk donker",9%,Brouwerij De Dochter van de Korenaar,2008-heden
Embrasse Embrasse Oak Aged,hoge gisting,9%,Brouwerij De Dochter van de Korenaar,?-heden
Embrasse Special Edition,"hoge gisting, oak aged",9%,Brouwerij De Dochter van de Korenaar,?-heden
Ename Blond,"abdijbier, hoge gisting","6,5%",Brouwerij Roman,1997-heden
Ename Cuvée 974,hoge gisting,7%,Brouwerij Roman,2002-heden
Ename Cuvée Rouge,hoge gisting,7%,Brouwerij Roman,2002-heden
Ename Dubbel,"abdijbier, hoge gisting","6,5%",Brouwerij Roman,1990-heden
Ename Pater,"abdijbier, hoge gisting",%,Brouwerij Roman,2015-heden
Ename Tripel,"abdijbier, tripel","8,5%",Brouwerij Roman,1990-heden
Enfant Terriple,"blond, tripel","8,2%",Brouwerij De Leite,2010-heden
Enghien Noël,"hoge gisting, tripel, kerstbier",9%,Brasserie de Silly,
Estaminet Premium Pils,pils,"5,2%",Brouwerij Palm,?-heden
Equinox,bruin,8%,Brasserie de la Senne,?-heden
Eupener Bier,pils,"5,2%",Brouwerij Haacht,?-heden
Export 8,pils,"4,7%",Brouwerij Haacht,voor 1925-heden
Extase,imperial/double IPA,"8,5%",Brouwerij De Dochter van de Korenaar,?-heden
Extra blond,pils,5%,Brouwerij Duvel Moortgat,1930-1976
Extra Pilsener,pils,5%,Brouwerij Duvel Moortgat,1976-1991
Ezel Bruin,bruin,"6,5%",Brouwerij Bavik,?-heden
Ezel Wit,witbier,"5,8%",Brouwerij Bavik,?-heden
Fancy,alcoholarm,"0,5%",Brouwerij Bavik,?-heden
Fantôme,hoge gisting,8%,Brasserie Fantôme,?-heden
Fantôme Chocolat,hoge gisting,8%,Brasserie Fantôme,?-heden
Fantôme Spéciale Noel,hoge gisting,8%,Brasserie Fantôme,?-heden
Faro Boon,faro,4%,Brouwerij Boon,?-heden
Faro Girardin,faro,5%,Brouwerij Girardin,?-heden
Faro Lambic Lindemans,faro,"4,5%",Brouwerij Lindemans,1978-heden
Faro Perte Totale,faro,5%,Brouwerij Boon,?-heden
Fasso Blond,blond,"6,5%",Brouwerij Vissenaken,?-?
Felix Kriek Oud Bruin,kriek,6%,Brouwerij Clarysse,?-?
Felix Kriekbier,kriek,"5,2%",Brouwerij Clarysse,?-?
Felix Oud Bruin,bruin,"5,2%",Brouwerij Clarysse,?-?
Felix Speciaal Oudenaards,roodbruin,"4,6%",Brouwerij Clarysse,?-?
Femme Fatale,"hoge gisting, amber","6,5%",Brouwerij De Leite,2008-heden
Ferme Framboos,fruitbier,8%,Brouwerij De Vlier,?-heden
Ferre,quadrupel,10%,Brouwerij Maenhout,2013-heden
Festina Lente,donkerbruin,7%,Brouwerij Alvinne,?-?
Finesse,"hoge gisting, tripel","8,5%",Brouwerij De Dochter van de Korenaar,?-?
Flandrien,hoge gisting,7%,Brouwerij Louwaege,?-?
Flodder,hoge gisting,8%,bierfirma VALOCCO,?-?
Floreffe Blond,abdijbier,"6,3%",Brouwerij Lefebvre,1983-heden
Floreffe Dubbel,abdijbier,"6,3%",Brouwerij Lefebvre,1983-heden
Floreffe Prima Melior,abdijbier,8%,Brouwerij Lefebvre,?-heden
Floreffe Tripel,abdijbier,"7,5%",Brouwerij Lefebvre,1983-heden
Floreffe Wit-Bier,"witbier, abdijbier","4,5%",Brouwerij Lefebvre,?-heden
Florilège de Pensée,fruit- en bloemenbier,9%,Brasserie d'Ecaussinnes,?-heden
Florilège de Rose,fruit- en bloemenbier,9%,Brasserie d'Ecaussinnes,?-heden
Florilège de Sureau,fruit- en bloemenbier,9%,Brasserie d'Ecaussinnes,?-?
Florilège d’Hibiscus,fruit- en bloemenbier,9%,Brasserie d'Ecaussinnes,?-heden
Floris Cactus,witbier,"4,2%",Brouwerij Huyghe,?-heden
Floris Chocolat,bruin,"4,2%",Brouwerij Huyghe,?-heden
Floris Fraise,fruitbier,"3,6%",Brouwerij Huyghe,1995?-heden
Floris Framboise,fruitbier,"3,7%",Brouwerij Huyghe,1995?-heden
Floris Griotte,fruitbier,3%,Brouwerij Huyghe,1995?-heden
Floris Honey,honingbier,"4,5%",Brouwerij Huyghe,?-heden
Floris Kriek,fruitbier,"3,6%",Brouwerij Huyghe,1995?-heden
Floris Mango,fruitbier,"3,6%",Brouwerij Huyghe,1995?-heden
Floris Ninkeberry,fruitbier,"3,6%",Brouwerij Huyghe,?-heden
Floris Passion,fruitbier,"3,6%",Brouwerij Huyghe,1995?-heden
Floris Pear,fruitbier,"3,5%",Brouwerij Huyghe,?-heden
Floris Pomme / Apple,fruitbier,"3,5%",Brouwerij Huyghe,1995?-heden
Floris Witbier,witbier,5%,Brouwerij Huyghe,1995?-heden
Florival Blond,abdijbier,7%,Affligem Brouwerij,?-heden
Florival Bruin,donkerbruin,7%,Affligem Brouwerij,1956-heden (1994-heden
Florival Tripel,tripel,"8,5%",Affligem Brouwerij,1957-heden
Florival Winter,roodbruin,9%,Affligem Brouwerij,?-heden
Foewerbier,amber,7%,Brouwerij Kerkom,?-?
Forestinne Ambrosia,amber,"7,5%",Brasserie Caracole,?-?
Forestinne Gothika,scotch,"7,5%",Brasserie Caracole,?-?
Forestinne Mysteria,blond speciaalbier,"7,5%",Brasserie Caracole,?-?
Forestinne Nordika,kerstbier,"7,5%",Brasserie Caracole,?-?
Forestinne Primoria,blond,"7,5%",Brasserie Caracole,?-?
Fort Lapin 8,tripel,8%,Brouwerij Fort Lapin,2011-heden
Fortun,blond,"7,5%",het Fort van Duffel,?-?
Fortha Blonde,blond,,Brouwerij Verkest,ca'30-1952
Fortha Bruin,bruin,,Brouwerij Verkest,ca'30-1952
Fortha Speciaal,,,Brouwerij Verkest,?-1952
Four Aces Barley Wine,amber,9%,Brouwerij Het Nest,2017-heden
Four Aces Black IPA,IPA,7%,Brouwerij Het Nest,2017-heden
Four Aces Session IPA,"blond, IPA","3,5%",Brouwerij Het Nest,2017-heden
Four Aces White IPA,IPA,"5,3%",Brouwerij Het Nest,2017-heden
Framboise Boon,"lambiek, fruitbier",6%,Brouwerij Boon,1970-heden
Framboise Girardin,"lambiek, fruitbier",5%,Brouwerij Girardin,?-heden
Framboise Lindemans,"lambiek, fruitbier","2,5%",Brouwerij Lindemans,1980-heden
Framboise Max Jacobins,"lambiek, fruitbier",3%,Brouwerij Bockor,?-heden
Framboise Oud Beersel,"lambiek, fruitbier",5%,Brouwerij Oud Beersel,?-heden
Frasnoise Givrée,amber,"6,3%",Brasserie La Frasnoise,?-?
Frasnoise Rétro,amber,"6,3%",Brasserie La Frasnoise,?-?
Freaky,Brown ale,"3,8%",Brouwerij Alvinne,?-?
Freaky Dark,lambiek,"3,8%",Brouwerij Alvinne,?-?
Freedom Pils,pils,"5,2%",Alken-Maes,2001-heden
Fruitig Bierreke,fruitbier,"8,2%",Brouwerij DijkWaert,2011-2012
Fruitig Bierreke,fruitbier,6%,Brouwerij DijkWaert,2012-heden
Gageleer,biologisch bier,"7,5%",Natuurpunt,?-heden
Gamma,bruin,6%,Brussels Beer Project,?-?
Gandavum Dry Hopping,blond,"7,5%",Het Waterhuis aan de bierkant,2005-heden
Gaspar,amber,8%,Brouwerij Alvinne,?-heden
Gauloise Ambrée,amber,"5,5%",Brasserie Du Bocq,1858?-heden
Gauloise Blonde,blond,"6,3%",Brasserie Du Bocq,1858?-heden
Gauloise Brune,bruin,"8,1%",Brasserie Du Bocq,1858?-heden
Gauloise Red,fruitbier,"8,2%",Brasserie Du Bocq,?-heden
Gauloise Christmas,kerstbier,"8,1%",Brasserie Du Bocq,?-heden
Gentse Strop,blond,"6,9%",Brouwerij Roman,2011-heden
Gentse Tripel,blond,8%,Brouwerij Van Steenberge,?-heden
Gertrude Ambrée,"amber, hoge gisting",6%,Brasserie de Bouillon,2007-heden
Gertrude Triple,tripel,"7,5%",De Proefbrouwerij,2009-heden
Geuze Cantillon 100% Lambic Bio,geuze,5%,Brouwerij Cantillon,?-heden
Gueuze Girardin,geuze,5%,Brouwerij Girardin,?-?
Gueuze Girardin gefilterd,geuze,5%,Brouwerij Girardin,?-?
Geuze Jacobins,geuze,"5,5%",Brouwerij Bockor,?-heden
Geuze Lindemans,geuze,"5,5%",Brouwerij Lindemans,?-heden
Geuze Mariage Parfait,geuze,8%,Brouwerij Boon,?-?
Ghulden Cop,donkerblond,6%,Brouwerij De Graal,?-?
Gigi speciale,tafelbier,"2,5%",Brasserie Gigi,?-?
